가로등위치명,위도,경도
세종특별자치시 소담동 511,36.4869199,127.3000073
세종특별자치시 보람동 700-29,36.4740272,127.2883646
세종특별자치시 소담동 511,36.4879535,127.2981578
세종특별자치시 보람동 700-29,36.4739505,127.2881945
세종특별자치시 소담동 511,36.4873899,127.299647
세종특별자치시 보람동 700-29,36.4738716,127.2880272
연기면 누리리 194-14,36.5315568,127.29516
세종특별자치시 보람동 700-29,36.4742659,127.2891245
연기면 누리리 194-14,36.5324034,127.295063
세종특별자치시 보람동 700-29,36.4733612,127.2871049
연기면 누리리 194-14,36.5341027,127.2943887
세종특별자치시 보람동 700-29,36.4719804,127.2855702
연기면 누리리 194-14,36.533842,127.2945028
세종특별자치시 보람동 700-29,36.4720695,127.2856562
연기면 누리리 194-14,36.5304296,127.2950362
세종특별자치시 보람동 700-27,36.4714216,127.2844123
연기면 누리리 194-14,36.5299779,127.2948505
세종특별자치시 보람동 700-27,36.47154856,127.2845635
연기면 누리리 194-14,36.5299361,127.2954092
세종특별자치시 보람동 700-27,36.4723285,127.2854318
연기면 누리리 194-14,36.5307,127.2950561
세종특별자치시 보람동 700-27,36.472469,127.285569
세종특별자치시 소담동 511,36.4878734,127.2982926
세종특별자치시 보람동 700-27,36.4726117,127.285709
세종특별자치시 소담동 511,36.4880808,127.2979279
세종특별자치시 보람동 700-27,36.4727521,127.2858407
세종특별자치시 소담동 511,36.4875477,127.2993523
세종특별자치시 보람동 700-27,36.4728813,127.285964
세종특별자치시 소담동 35-9,36.4854086,127.3033616
세종특별자치시 보람동 700-27,36.4730151,127.2861347
세종특별자치시 소담동 35-9,36.4852635,127.3036197
세종특별자치시 보람동 700-27,36.4731443,127.2862804
세종특별자치시 소담동 35-9,36.4851074,127.3038972
세종특별자치시 보람동 700-27,36.473278,127.2864427
세종특별자치시 소담동 27,36.4850704,127.3041296
세종특별자치시 보람동 700-27,36.4734027,127.2865996
세종특별자치시 소담동 27,36.4848331,127.3044658
세종특별자치시 보람동 700-27,36.4735139,127.2867759
세종특별자치시 소담동 35-9,36.4861132,127.3021052
세종특별자치시 보람동 700-27,36.4736207,127.2869523
세종특별자치시 소담동 35-9,36.4862492,127.3018473
세종특별자치시 보람동 700-27,36.4737251,127.2871343
세종특별자치시 소담동 35-9,36.4859907,127.3016911
세종특별자치시 보람동 700-27,36.4738228,127.2873219
세종특별자치시 소담동 35-9,36.4855387,127.3025239
세종특별자치시 보람동 700-27,36.4740194,127.2876672
세종특별자치시 소담동 35-9,36.4852753,127.3029978
세종특별자치시 보람동 700-27,36.4740916,127.2878204
세종특별자치시 소담동 35-9,36.4851347,127.3032473
세종특별자치시 보람동 700-27,36.4741662,127.287982
세종특별자치시 소담동 35-9,36.4849991,127.3034828
세종특별자치시 보람동 700-27,36.4742385,127.2881491
세종특별자치시 소담동 35-9,36.4856782,127.3028763
세종특별자치시 보람동 700-27,36.474313,127.288319
세종특별자치시 소담동 27,36.4843026,127.3053974
세종특별자치시 보람동 700-27,36.4743785,127.2884918
세종특별자치시 소담동 27,36.4844615,127.30444
세종특별자치시 보람동 700-27,36.4748451,127.2908334
세종특별자치시 소담동 35-9,36.4848743,127.3037351
세종특별자치시 보람동 700-27,36.473929,127.2875057
세종특별자치시 소담동 27,36.4843324,127.3046645
세종특별자치시 보람동 700-27,36.4744328,127.2886646
세종특별자치시 소담동 27,36.4842008,127.3049298
세종특별자치시 보람동 700-27,36.4744803,127.2888318
